pair_id,target
11691,1
11692,1
11693,1
11694,1
11695,1
11696,1
11697,0
11698,0
11699,1
11700,1
11701,1
11702,1
11703,1
11704,1
11705,1
11706,1
11707,1
11708,1
11709,1
11710,1
11711,1
11712,1
11713,0
11714,1
11715,1
11716,1
11717,1
11718,1
11719,1
11720,1
11721,1
11722,1
11723,1
11724,1
11725,1
11726,1
11727,1
11728,1
11729,1
11730,1
11731,1
11732,1
11733,1
11734,1
11735,1
11736,0
11737,1
11738,0
11739,1
11740,1
11741,1
11742,1
11743,0
11744,1
11745,1
11746,1
11747,1
11748,1
11749,1
11750,1
11751,1
11752,1
11753,1
11754,1
11755,1
11756,1
11757,1
11758,1
11759,1
11760,1
11761,1
11762,1
11763,1
11764,1
11765,0
11766,1
11767,1
11768,1
11769,1
11770,1
11771,1
11772,1
11773,1
11774,1
11775,1
11776,1
11777,1
11778,0
11779,1
11780,1
11781,1
11782,1
11783,1
11784,1
11785,1
11786,1
11787,1
11788,1
11789,0
11790,1
11791,1
11792,1
11793,0
11794,1
11795,1
11796,1
11797,1
11798,1
11799,1
11800,1
11801,1
11802,1
11803,1
11804,1
11805,0
11806,1
11807,1
11808,1
11809,1
11810,1
11811,0
11812,1
11813,1
11814,1
11815,1
11816,1
11817,1
11818,1
11819,0
11820,1
11821,1
11822,0
11823,0
11824,1
11825,1
11826,1
11827,0
11828,1
11829,1
11830,1
11831,1
11832,1
11833,1
11834,1
11835,1
11836,1
11837,1
11838,1
11839,1
11840,1
11841,0
11842,1
11843,1
11844,1
11845,1
11846,1
11847,1
11848,0
11849,1
11850,1
11851,1
11852,1
11853,1
11854,1
11855,1
11856,1
11857,1
11858,1
11859,1
11860,1
11861,0
11862,1
11863,1
11864,0
11865,1
11866,1
11867,1
11868,1
11869,1
11870,1
11871,1
11872,1
11873,1
11874,0
11875,1
11876,1
11877,1
11878,1
11879,1
11880,1
11881,1
11882,1
11883,1
11884,1
11885,1
11886,1
11887,1
11888,1
11889,1
11890,0
11891,1
11892,1
11893,1
11894,1
11895,1
11896,1
11897,1
11898,1
11899,0
11900,1
11901,1
11902,1
11903,1
11904,1
11905,0
11906,1
11907,0
11908,1
11909,1
11910,1
11911,1
11912,0
11913,1
11914,0
11915,1
11916,1
11917,1
11918,1
11919,1
11920,1
11921,1
11922,1
11923,0
11924,1
11925,1
11926,1
11927,1
11928,1
11929,1
11930,1
11931,1
11932,0
11933,1
11934,1
11935,1
11936,1
11937,1
11938,1
11939,0
11940,1
11941,0
11942,0
11943,0
11944,1
11945,0
11946,1
